,SubID,humanAssigned,0,1,2,3,CorrectAssignment
0,perma2,Exercise,Exercise,Diet,Positivity,Sleep,TRUE
1,perma4,Positivity,Positivity,Exercise,Sleep,Diet,TRUE
2,perma5,Diet,Exercise,Diet,Sleep,Positivity,TRUE
3,perma6,Sleep,Sleep,Diet,Positivity,Exercise,TRUE
4,perma9,Positivity,Positivity,Diet,Exercise,Sleep,TRUE
5,perma10,Sleep,Positivity,Sleep,Diet,Exercise,TRUE
6,perma14,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
7,perma16,Positivity,Positivity,Sleep,Diet,Exercise,TRUE
8,perma19,Diet,Exercise,Positivity,Diet,Sleep,FALSE
9,perma23,Positivity,Positivity,Diet,Sleep,Exercise,TRUE
10,perma24,Diet,Diet,Sleep,Positivity,Exercise,TRUE
11,perma26,Positivity,Positivity,Diet,Exercise,Sleep,TRUE
12,perma27,Positivity,Exercise,Positivity,Diet,Sleep,TRUE
13,perma29,Positivity,Positivity,Exercise,Sleep,Diet,TRUE
14,perma30,Diet,Diet,Sleep,Exercise,Positivity,TRUE
15,perma33,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
16,perma35,Sleep,Sleep,Exercise,Positivity,Diet,TRUE
17,perma36,Exercise,Exercise,Positivity,Sleep,Diet,TRUE
18,perma37,Positivity,Diet,Positivity,Exercise,Sleep,TRUE
19,perma38,Sleep,Sleep,Diet,Positivity,Exercise,TRUE
20,perma41,Positivity,Positivity,Sleep,Exercise,Diet,TRUE
21,perma44,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
22,perma45,Positivity,Exercise,Positivity,Sleep,Diet,TRUE
23,perma46,Exercise,Exercise,Positivity,Sleep,Diet,TRUE
24,perma49,Exercise,Exercise,Diet,Positivity,Sleep,TRUE
25,perma51,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
26,perma53,Exercise,Exercise,Diet,Sleep,Positivity,TRUE
27,perma54,Exercise,Exercise,Positivity,Sleep,Diet,TRUE
28,perma55,Positivity,Positivity,Diet,Exercise,Sleep,TRUE
29,perma57,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
30,perma58,Positivity,Positivity,Exercise,Sleep,Diet,TRUE
31,perma61,Positivity,Diet,Positivity,Exercise,Sleep,TRUE
32,perma62,Diet,Diet,Exercise,Positivity,Sleep,TRUE
33,perma63,Exercise,Exercise,Sleep,Diet,Positivity,TRUE
34,perma65,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
35,perma66,Exercise,Diet,Positivity,Sleep,Exercise,FALSE
36,perma68,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
37,perma69,Sleep,Exercise,Positivity,Sleep,Diet,TRUE
38,perma70,Positivity,Diet,Positivity,Exercise,Sleep,TRUE
39,perma72,Positivity,Positivity,Diet,Sleep,Exercise,TRUE
